PK,DID,DOMAIN,CID,CFR-2007-TITLE45-VOL1-PART164,TYPE_CFR-2007-TITLE45-VOL1-PART164,NIST_HIPAA_SECURITY_RULE_TOOLKIT_W_LINEBREAKS,HHS-ONC_SRATK_ID,HHS-ONC_SRATK,HHS-ONC_SRATK_W_LINEBREAKS,HHS-ONC_SRATK_NIST_MAP,TYPE_HHS-ONC_SRATK
44,164.31,164.310 Physical Safeguards,164.310(c),"(c) Standard: Workstation security. Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",Standard,"Q: Does your organization have workstation security physical safeguards in place? 
Q: Has your organization documented the different ways workstations are accessed by staff, employees workforce members, and non-employees?
Q: Are any of your organization's workstations located in public areas? 
Q: Does your organization use lap tops and tablets (iPads) as workstations? Do you have specific policies and procedures for such workstations?
Q: Has your organization determined which type(s) of access holds the greatest threat to security?
Q: Has your organization reviewed the areas of your workstations to determine which areas are more vulnerable to unauthorized use, theft, or viewing of the data? Do you do this review periodically?
Q: Has your organization implemented physical safeguards and other security measures to minimize the possibility of inappropriate access of ePHI through workstations, including locked door, screen barriers, cameras, guards?
Q: Does your organization protect information system media until the media are destroyed or sanitized using approved equipment, techniques, and procedures?","PH22,PH23,PH24,PH25,PH26,PH27,PH28,PH29","(PH22): Does your practice have policies and procedures that describe how to prevent unauthorized access of unattended workstations?, (PH23): Does your practice have policies and procedures that describe how to position workstations to limit the ability of unauthorized individuals to view ePHI?, (PH24): Have you put any of your practice's workstations in public areas?, (PH25): Does your practice use laptops and tablets as workstations?  If so, does your practice have specific policies and procedures to safeguard these workstations?, (PH26): Does your practice have physical protections in place to secure your workstations?, (PH27): Do you regularly review your workstations’ locations to see which areas are more vulnerable to unauthorized use, theft, or viewing of the data?, (PH28): Does your practice have physical protections and other security measures to reduce the chance for inappropriate access of ePHI through workstations?  This could include using locked doors, screen barriers, cameras, and guards., (PH29): Do your policies and procedures set standards for workstations that are allowed to be used outside of your facility?","(PH22): Does your practice have policies and procedures that describe how to prevent unauthorized access of unattended workstations?
(PH23): Does your practice have policies and procedures that describe how to position workstations to limit the ability of unauthorized individuals to view ePHI?
(PH24): Have you put any of your practice's workstations in public areas?
(PH25): Does your practice use laptops and tablets as workstations?  If so, does your practice have specific policies and procedures to safeguard these workstations?
(PH26): Does your practice have physical protections in place to secure your workstations?
(PH27): Do you regularly review your workstations’ locations to see which areas are more vulnerable to unauthorized use, theft, or viewing of the data?
(PH28): Does your practice have physical protections and other security measures to reduce the chance for inappropriate access of ePHI through workstations?  This could include using locked doors, screen barriers, cameras, and guards.
(PH29): Do your policies and procedures set standards for workstations that are allowed to be used outside of your facility?",Standard,
45,164.31,164.310 Physical Safeguards,164.310(d)(1),"(d)(1) Standard: Device and media controls. Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Standard,"Q: Does your organization have device and media controls, policies and procedures? 
Q: Does your organization: 1) protect and control your defined types of digital and non-digital media during transport outside of controlled areas using your organizational security measures?
Q: Does your organization: 2) maintain accountability for information system media during transport outside of controlled areas?
Q: Does your organization: 3) restrict the activities associated with transport of such media to authorized personnel?","PH30,PH31,PH32,PH33","(PH30): Does your practice have security policies and procedures to physically protect and securely store electronic devices and media inside your facility(ies) until they can be securely disposed of or destroyed?, (PH31): Do you remove or destroy ePHI from information technology devices and media prior to disposal of the device?, (PH32): Do you maintain records of the movement of electronic devices and media inside your facility?, (PH33): Have you developed and implemented policies and procedures that specify how your practice should dispose of electronic devices and media containing ePHI?","(PH30): Does your practice have security policies and procedures to physically protect and securely store electronic devices and media inside your facility(ies) until they can be securely disposed of or destroyed?
(PH31): Do you remove or destroy ePHI from information technology devices and media prior to disposal of the device?
(PH32): Do you maintain records of the movement of electronic devices and media inside your facility?
(PH33): Have you developed and implemented policies and procedures that specify how your practice should dispose of electronic devices and media containing ePHI?",Standard,
46,164.31,164.310 Physical Safeguards,164.310(d)(2),(2) Implementation specifications:,,Q: Does your organization have disposal policies and procedures? ,XXXXX,XXXXX,XXXXX,XXXXX,
47,164.31,164.310 Physical Safeguards,164.310(d)(2)(i),"(i) Disposal (Required). Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on which it is stored.",Required,"Q: Has your organization developed and implemented policies and procedures that address the disposal of ePHI and / or the hardware and electronic media on which it is stored, including the appropriate methods to dispose of hardware, software and the data itself?
Q: Does your organization have a process to assure that ePHI is properly destroyed and cannot be recreated?
Q: Does your organization keep ePHI on removable devices such as CDs, DVDs, zip drives, tablets (iPads)? Does your organization have policies and procedures for data disposal on these tools?",PH34,(PH34): Do you require that all ePHI is removed from equipment and media before you remove the equipment or media from your facilities for offsite maintenance or disposal?,(PH34): Do you require that all ePHI is removed from equipment and media before you remove the equipment or media from your facilities for offsite maintenance or disposal?,Required,
48,164.31,164.310 Physical Safeguards,164.310(d)(2)(ii),(ii) Media re-use (Required). Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.,Required,"Q: Does your organization have procedures for the removal of ePHI from electronic media before the media are made available for reuse, including assuring that ePHI is properly destroyed and cannot be recreated?
Q: Does your organization have one individual or department responsible for coordinating data disposal and reuse of hardware and software across your enterprise?
Q: Does your organization train your staff, employees, and workforce members on the security and risks of ePHI destruction and reuse of software and hardware?",PH35,(PH35): Do you have procedures that describe how your practice should remove ePHI from its storage media/ electronic devices before the media is re-used?,(PH35): Do you have procedures that describe how your practice should remove ePHI from its storage media/ electronic devices before the media is re-used?,Required,
49,164.31,164.310 Physical Safeguards,164.310(d)(2)(iii),(iii) Accountability (Addressable). Maintain a record of the movements of hardware and electronic media and any person responsible therefore.,Addressable,"Q: Does your organization keep a record of the movement of hardware and software both inside your organization and when it leave your facility, and do you have an individual or office responsible for this task?
Q: Does your organization have an inventory of the type of media that are used to store ePHI, and is it updated periodically?
Q: Does your organization permit your staff, employees, and workforce members to remove electronic media that contains or can be used to access ePHI; does your organization have procedures to track the media externally?","PH36,PH37","(PH36): Does your practice maintain a record of movements of hardware and media and the person responsible for the use and security of the devices or media containing ePHI outside the facility?, (PH37): Do you maintain records of employees removing electronic devices and media from your facility that has or can be used to access ePHI?","(PH36): Does your practice maintain a record of movements of hardware and media and the person responsible for the use and security of the devices or media containing ePHI outside the facility?
(PH37): Do you maintain records of employees removing electronic devices and media from your facility that has or can be used to access ePHI?",Addressable,
50,164.31,164.310 Physical Safeguards,164.310(d)(2)(iv),"(iv) Data backup and storage (Addressable). Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.",Addressable,"Q: Does your organization create an exact copy of ePHI if needed before you move the equipment?
Q: Does your organization maintain backup files offsite to assure data availability in the event of data is lost while transporting or moving electronic media containing ePHI?
Q: Does your organization have an inventory of what business process would be impacted and for how long if data were unavailable while media was being moved?",PH38,(PH38): Does your organization create backup files prior to the movement of equipment or media to ensure that data is available when it is needed?,(PH38): Does your organization create backup files prior to the movement of equipment or media to ensure that data is available when it is needed?,Addressable,
51,164.312,164.312 Technical Safeguards,164.312(a)(1),(a)(1) Standard: Access control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,Standard,"Q: Does your organization have access to technical policies and procedures? 
Q: Has your organization identified all applications, systems, servers and other electronic tools that hold and use ePHI?
Q: Has your organization outlined the user roles for the applications, systems, servers and other electronic identified above?
Q: Has your organization determined where the ePHI supporting the electronic tools is currently housed (i.e. lap top, network, etc.)?
Q: Are any of your organization's systems, networks, or data accessed remotely? 
Q: Has your organization identified an approach for access control? 
Q: Has your organization determined the access capabilities of all your electronic tools that hold and create ePHI, such as viewing data, modifying data, deleting data, and creating data?","T1,T2,T3,T4","(T1): Does your practice have policies and procedures requiring safeguards to limit access to ePHI to those persons and software programs appropriate for their role?, (T2): Does your practice have policies and procedures to grant access to ePHI based on the person or software programs appropriate for their role?, (T3): Does your practice analyze the activities performed by all of its workforce and service providers to identify the extent to which each needs access to ePHI?, (T4): Does your practice identify the security settings for each of its information systems and electronic devices that control access?","(T1): Does your practice have policies and procedures requiring safeguards to limit access to ePHI to those persons and software programs appropriate for their role?
(T2): Does your practice have policies and procedures to grant access to ePHI based on the person or software programs appropriate for their role?
(T3): Does your practice analyze the activities performed by all of its workforce and service providers to identify the extent to which each needs access to ePHI?
(T4): Does your practice identify the security settings for each of its information systems and electronic devices that control access?",Standard,"AC-1,AC-3,AC-5,AC-6,IA-2,AC-2"
52,164.312,164.312 Technical Safeguards,164.312(a)(2)(i),(2) Implementation specifications: (i) Unique user identification (Required). Assign a unique name and/or number for identifying and tracking user identity.,Required,"Q: Does your organization have a formal access control policy that guided the development of access control procedures?
Q: Has your organization developed and implemented access control procedures? 
Q: Do your organization's access control procedures include: 1) initial access, 2) increased access, 3) access to different systems and applications that user currently has?
Q: Has your access control policy, including the rules of user behavior, been communicated to your system users?
Q: Has your organization outlined how user compliance with your access control policy will be enforced?
Q: Has your organization determined who will manage the access control procedures? 
Q: Does your organization train your users in access control procedures and management? 
Q: Does your organization train new employees/users in your access control policy and procedures, and other instructions for protecting ePHI?
Q: Does your organization have procedures for new employee/user access to your data and systems?
Q: Does your organization have procedures for reviewing and, as appropriate, modifying access authorization for existing users?
Q: Has your organization determined how a user identifier should be established, such as length and content, and communicated this information to your staff, employees, and workforce members?
Q: Has your organization determined if the user identifier should be self-selected or randomly generated? Is it different for different types of data?
Q: Can your organization trace all system activity, viewing, modifying, deleting and creating of ePHI, to a specific user?
Q: Does your organization record each time ePHI is viewed, modified, deleted or created in an audit tool to support audit and other business functions?","T5,T6","(T5): Does your practice have policies and procedures for the assignment of a unique identifier for each authorized user?, (T6): Does your practice require that each user enter a unique user identifier prior to obtaining access to ePHI?","(T5): Does your practice have policies and procedures for the assignment of a unique identifier for each authorized user?
(T6): Does your practice require that each user enter a unique user identifier prior to obtaining access to ePHI?",Required,"IA-1,IA-2,IA-4"
53,164.312,164.312 Technical Safeguards,164.312(a)(2)(ii),(ii) Emergency access procedure (Required). Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,Required,"Q: Does your organization have procedures for obtaining necessary access to ePHI during an emergency?
Q: Does your organization have a policy on when access procedures should be activated? 
Q: Does your organization policy name the person/role/office that makes the decision to activate your emergency access procedures?
Q: Does your organization have procedures and a method for supporting continuity of operations when normal access procedures are disabled or unavailable due to system problems?
Q: Will your organization's systems automatically default to settings and functionalities that will enable the emergency access procedures or will it need to be activated by a system's administrator/authorized individual?","T7,T8,T9,T10,T11,T12,T13,T14,T15,T16","(T7): Does your practice have policies and procedures to enable access to ePHI in the event of an emergency?, (T8): Does your practice define what constitutes an emergency and identify the various types of emergencies that are likely to occur?, (T9): Does your practice have policies and procedures for creating an exact copy of ePHI as a backup?, (T10): Does your practice back up ePHI by saving an exact copy to a magnetic disk/tape or a virtual storage, such as a cloud environment?, (T11): Does your practice have back up information systems so that it can access ePHI in the event of an emergency or when your practice’s primary systems become unavailable?, (T12): Does your practice have the capability to activate emergency access to its information systems in the event of a disaster?, (T13): Does your practice have policies and procedures to identify the role of the individual accountable for activating emergency access settings when necessary?, (T14): Does your practice designate a workforce member who can activate the emergency access settings for your information systems?, (T15): Does your practice test access when evaluating its ability to continue accessing ePHI and other health records during an emergency?, (T16): Does your practice effectively recover from an emergency and resume normal operations and access to ePHI?","(T7): Does your practice have policies and procedures to enable access to ePHI in the event of an emergency?
(T8): Does your practice define what constitutes an emergency and identify the various types of emergencies that are likely to occur?
(T9): Does your practice have policies and procedures for creating an exact copy of ePHI as a backup?
(T10): Does your practice back up ePHI by saving an exact copy to a magnetic disk/tape or a virtual storage such as a cloud environment?
(T11): Does your practice have back up information systems so that it can access ePHI in the event of an emergency or when your practice’s primary systems become unavailable?
(T12): Does your practice have the capability to activate emergency access to its information systems in the event of a disaster?
(T13): Does your practice have policies and procedures to identify the role of the individual accountable for activating emergency access settings when necessary?
(T14): Does your practice designate a workforce member who can activate the emergency access settings for your information systems?
(T15): Does your practice test access when evaluating its ability to continue accessing ePHI and other health records during an emergency?
(T16): Does your practice effectively recover from an emergency and resume normal operations and access to ePHI?",Required,"CP-1,AC-3,CP-2,CP-6,CP-9,IA-2,CP-4,CP-1"
54,164.312,164.312 Technical Safeguards,164.312(a)(2)(iii),(iii) Automatic logoff (Addressable). Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,Addressable,"Q: Does your organization have an electronic procedure that automatically terminates electronic session after a predetermined time of activity?
Q: Has your organization inventoried your electronic tools for automatic logoff capabilities? 
Q: Has your organization determined the period of activity prior to triggering the automatic log- off?
Q: Has your organization determined the period of activity prior to triggering the automatic log-off is deferent for specific parts of your organization?
Q: Has your organization developed and built in-house tool(s) have automatic log-off capabilities or can they be modified to include automatic log-off capabilities?","T17,T18,T19","(T17): Does your practice have policies and procedures that require an authorized user’s session to be automatically logged-off after a predetermined period of inactivity?, (T18): Does a responsible person in your practice know the automatic logoff settings for its information systems and electronic devices?, (T19): Does your practice activate an automatic logoff that terminates an electronic session after a predetermined period of user inactivity?","(T17): Does your practice have policies and procedures that require an authorized user’s session to be automatically logged-off after a predetermined period of inactivity?
(T18): Does a responsible person in your practice know the automatic logoff settings for its information systems and electronic devices?
(T19): Does your practice activate an automatic logoff that terminates an electronic session after a predetermined period of user inactivity?",Addressable,"IA-1,AC-11,CM-8"
55,164.312,164.312 Technical Safeguards,164.312(a)(2)(iv),(iv) Encryption and decryption (Addressable). Implement a mechanism to encrypt and decrypt electronic protected health information.,Addressable,Q: Does your organization have a process/mechanism to encrypt and decrypt ePHI? ,"T20,T21,T22","(T20): Does your practice have policies and procedures for implementing mechanisms that can encrypt and decrypt ePHI?, (T21): Does your practice know the encryption capabilities of its information systems and electronic devices?, (T22): Does your practice control access to ePHI and other health information by using encryption/decryption methods to deny access to unauthorized users?","(T20): Does your practice have policies and procedures for implementing mechanisms that can encrypt and decrypt ePHI?
(T21): Does your practice know the encryption capabilities of its information systems and electronic devices?
(T22): Does your practice control access to ePHI and other health information by using encryption/decryption methods to deny access to unauthorized users?",Addressable,"SC-1,CM-8,SC-8,SC-13,AC-3"
56,164.312,164.312 Technical Safeguards,164.312(b),"(b) Standard: Audit controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",Standard,"Q: Has your organization determined the appropriate scope of audit controls that are be necessary to protect your information systems and tools that contain ePHI, based on your risk assessment?
Q: Has your organization determined what data will need to be captured by your audit controls and in your audit logs, user ID, event type/date/time?
Q: Has your organization determined where your ePHI is at risk within your organization and when you transmit it outside your organization?
Q: Does your organization have an inventory of what systems, applications, processes, servers, laptops, PDAs, tablets (iPads) and other electronic tools make data vulnerable to unauthorized or inappropriate tampering, uses or disclosures of ePHI?
Q: What activities will your audit controls monitor, creation, review, updating, deleting, other of ePHI?
Q: Has your organization evaluated your existing systems capabilities in the last 12 months and determined if any changes of upgrades are necessary?
Q: Does your organization have tools in place for auditing data review, creating, deleting and updating, plus for firewall system activity and other similar activities?
Q: Has your organization determined what are the most appropriate monitoring tools for your organization, such as third party tools, freeware, operating-system provided, or home grown?
Q: Does your organization's evaluation include determination of what changes and upgrades to your monitoring tools is reasonable and appropriate?
Q: Does your organization have a process and communication plan to tell your staff, employees, and workforce members about your organization's decisions re audit and review of their use of ePHI?
Q: Has your organization named a person, role or office as the responsible party for your overall audit process and its results?
Q: Has your organization determined the period when audits will be performed? 
Q: Has your organization determined the type of audit trail data it will need, and the monitoring procedures to derive exception reports, other reports?
Q: Has your organization determined how your exception reports and logs will be reviewed? 
Q: Where will your organization file and maintain your monitoring reports? 
Q: Does your organization have a formal documented process in place to address your systems, and tools, misuse, abuse, and fraudulent activity?
Q: Does your organization have a plan to notify your managers and other staff, employees, and workforce members regarding suspect activity?
Q: Is your audit system activated on all your systems, servers, network, tools, and other similar areas?
Q: Has your organization begun your logging and auditing procedures? 
Q: Has your organization determined the period, how often the audit results will be analyzed? 
Q: What mechanisms has your organization implemented to assess effectiveness of your audit process, what metrics are being used?
Q: Does your organization have a plan to revise your audit process when needed? ","T23,T24,T25,T26,T27,T28,T29,T30,T31,T31","(T23): Does your practice have policies and procedures identifying hardware, software, or procedural mechanisms that record or examine information systems activities?, (T24): Does your practice identify its activities that create, store, and transmit ePHI and the information systems that support these business processes?, (T25): Does your practice categorize its activities and information systems that create, transmit or store ePHI as high, moderate or low risk based on its risk analyses?, (T26): Does your practice use the evaluation from its risk analysis to help determine the frequency and scope of its audits, when identifying the activities that will be tracked?, (T27): Does your practice have audit control mechanisms that can monitor, record and/or examine information system activity?, (T28): Does your practice have policies and procedures for creating, retaining, and distributing audit reports to appropriate workforce members for review?, (T29): Does your practice generate the audit reports and distribute them to the appropriate people for review?, (T30): Does your practice have policies and procedures establishing retention requirements for audit purposes?, (T31): Does your practice retain copies of its audit/access records?, (T31): Does your practice retain copies of its audit/access records?","(T23): Does your practice have policies and procedures identifying hardware, software, or procedural mechanisms that record or examine information systems activities?
(T24): Does your practice identify its activities that create, store, and transmit ePHI and the information systems that support these business processes?
(T25): Does your practice categorize its activities and information systems that create, transmit or store ePHI as high, moderate or low risk based on its risk analyses?
(T26): Does your practice use the evaluation from its risk analysis to help determine the frequency and scope of its audits, when identifying the activities that will be tracked?
(T27): Does your practice have audit control mechanisms that can monitor, record and/or examine information system activity?
(T28): Does your practice have policies and procedures for creating, retaining, and distributing audit reports to appropriate workforce members for review?
(T29): Does your practice generate the audit reports and distribute them to the appropriate people for review?
(T30): Does your practice have policies and procedures establishing retention requirements for audit purposes?
(T31): Does your practice retain copies of its audit/access records?
(T31): Does your practice retain copies of its audit/access records?",Standard,"AU-1,AU-2,AU-3,AU-6,AU-7,AU-4"
57,164.312,164.312 Technical Safeguards,164.312(c)(1),(c)(1) Standard: Integrity. Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.,Standard,"Q: Does your organization have integrity policies and procedures? 
Q: Does your organization a list of all your organization users are authorized to access ePHI? 
Q: Has your organization an established basis for assigning specific individuals and roles access to the ePHI based on need, such as necessary for job task?
Q: Has your organization identified all approved users with the ability to alter or destroy data? 
Q: Have your organization's users been trained on how to use ePHI? 
Q: Does your organization have audit trails established for all accesses to ePHI? 
Q: Has your organization determined what can be done to protect the ePHI when is it at rest in your systems and tools?
Q: Does your organization have policies and procedures that are used to decrease or eliminate alteration of ePHI during transition, such as encryption?
Q: Does your organization have a formally documented set of integrity requirements that is based on your analysis of use, users and misuses of ePHI and your risk analysis?
Q: Does your organization have a written policy related to your integrity requirements and has it been communicated to your system(s) users?
Q: Are your organization's current audit, logging, and access control techniques and methods sufficient to address the integrity of ePHI?
Q: If your organization's current techniques and methods are not sufficient, what additional techniques and methods can you apply to check ePHI integrity, such as quality control process, transaction and output reconstruction?
Q: Can your organization provide additional training to decrease instances attributable to human errors?",T32,(T32): Does your practice have policies and procedures for protecting ePHI from unauthorized modification or destruction?,(T32): Does your practice have policies and procedures for protecting ePHI from unauthorized modification or destruction?,Standard,SI-1
58,164.312,164.312 Technical Safeguards,164.312(c)(2),(2) Implementation specification: Mechanism to authenticate electronic protected health information (Addressable). Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.,Addressable,"Q: Does your organization have in place electronic mechanisms to corroborate that ePHI has not been altered or destroyed in an unauthorized manner?
Q: Does your organization use both electronic and non-electronic mechanisms to protect ePHI? 
Q: Does your organization use authentication mechanisms, such as error-correcting memory, magnetic disc storage, digital signatures, check sum technology? Others?
Q: Does your organization's information integrity process, as currently implemented, provide that a high level of assurance that information integrity is being maintained?",T33,"(T33): Does your practice have mechanisms to corroborate that ePHI has not been altered, modified or destroyed in an unauthorized manner?","(T33): Does your practice have mechanisms to corroborate that ePHI has not been altered, modified or destroyed in an unauthorized manner?",Addressable,SI-7
59,164.312,164.312 Technical Safeguards,164.312(d),(d) Standard: Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,Standard,"Q: Does your organization have person and entity authentication polices and procedures? 
Q: Has your organization established formal documented authentication policy and procedures and communicated them to your organization's staff, employees, and workforce members?
Q: Do your organization authentication procedures include ongoing system, applications, network, and tool maintenance and update of your authentication methods?
Q: Do your organization's identity methods corroborate that the person is the one claimed? 
Q: What authentication methods does your organization use? 
Q: Do your authentication methods require the validity of a transmission source and/or verifying an individual's claim of authorization privileges to ePHI?
Q: Does your organization have trained staff to maintain the system or is this work outsourced? 
Q: Does your organization use passwords for individual access to ePHI? 
Q: If your organization uses passwords for individual access to ePHI are they unique by individual?
Q: Has/does your organization use outside third party vendor support to implement your organization's authentication methods?
Q: Has your organization implemented the selected authentication methods into your organization's systems, networks, applications, and tools?
Q: Has your organization completed user and support staff training? ","T34,T35,T36,T37","(T34): Does your practice have policies and procedures for verification of a person or entity seeking access to ePHI is the one claimed?, (T35): Does your practice know the authentication capabilities of its information systems and electronic devices to assure that a uniquely identified user is the one claimed?, (T36): Does your practice use the evaluation from its risk analysis to select the appropriate authentication mechanism?, (T37): Does your practice protect the confidentiality of the documentation containing access control records (list of authorized users and passwords)?","(T34): Does your practice have policies and procedures for verification of a person or entity seeking access to ePHI is the one claimed?
(T35): Does your practice know the authentication capabilities of its information systems and electronic devices to assure that a uniquely identified user is the one claimed?
(T36): Does your practice use the evaluation from its risk analysis to select the appropriate authentication mechanism?
(T37): Does your practice protect the confidentiality of the documentation containing access control records (list of authorized users and passwords)?",Required,"IA-1,IA-2,IA-8,AC-3,AC-6,SC-13"
60,164.312,164.312 Technical Safeguards,164.312(e)(1),(e)(1) Standard: Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,Standard,"Q: Does your organization have transportation policies and procedures? 
Q: Does your organization have formal documented policies and procedures for transmission of ePHI, and have they been communicated to your staff, employees, and workforce members?
Q: Do your organization policies and procedures identify methods of transmission that will used to safeguard ePHI?
Q: Do your organization policies and procedures identify tools and techniques that will be used to support the transmission security policy?
Q: Has your organization implemented procedures for transmitting ePHI using hardware or software?
Q: Does your organization have formal documented set of requirements for transmitting ePHI? 
Q: What measures does your organization have in place to protect ePHI during transmission? 
Q: Does your organization have in place an auditing process during transmission that verifies that the ePHI has been protected against unauthorized access?
Q: Does your organization have trained staff that monitor transmissions? ","T38,T39","(T38): Does your practice have policies and procedures for guarding against unauthorized access of ePHI when it is transmitted on an electronic network?, (T39): Do your practice implement safeguards, to assure that ePHI is not accessed while en-route to its intended recipient?","(T38): Does your practice have policies and procedures for guarding against unauthorized access of ePHI when it is transmitted on an electronic network?
(T39): Do your practice implement safeguards, to assure that ePHI is not accessed while en-route to its intended recipient?",Standard,"SC-1,SC-8,SC-13"
61,164.312,164.312 Technical Safeguards,164.312(e)(2),(2) Implementation specifications:,,Q: Does your organization have integrity controls policies and procedures? ,XXXXX,XXXXX,XXXXX,XXXXX,
62,164.312,164.312 Technical Safeguards,164.312(e)(2)(i),(i) Integrity controls (Addressable). Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,Addressable,"Q: Does your organization have measures planned or implemented to protect ePHI during transmission?
Q: Does your organization have assurance that the information is not altered during transmission?","T40,T41,T42","(T40): Does your practice know what encryption capabilities are available to it for encrypting ePHI being transmitted from one point to another?, (T41): Does your practice take steps to reduce the risk that ePHI can be intercepted or modified when it is being sent electronically?, (T42): Does your practice implement encryption as the safeguard to assure that ePHI is not compromised when being transmitted from one point to another?","(T40): Does your practice know what encryption capabilities are available to it for encrypting ePHI being transmitted from one point to another?
(T41): Does your practice take steps to reduce the risk that ePHI can be intercepted or modified when it is being sent electronically?
(T42): Does your practice implement encryption as the safeguard to assure that ePHI is not compromised when being transmitted from one point to another?",Addressable,"SC-13,SC-8"
63,164.312,164.312 Technical Safeguards,164.312(e)(2)(ii),(ii) Encryption (Addressable). Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,Addressable,"Q: Has your organization implemented encryption for ePHI transmission? 
Q: Does your organization believe encryption necessary to protect ePHI during transmission? 
Q: Is encryption feasible and cost-effective for your organization? 
Q: What, if any, encryption algorithms and mechanism are available to your organization? 
Q: Does your organization have staff skilled in the use of encryption? 
Q: Does your organization have staff to maintain a process for encrypting ePHI during transmission?","T44,T45","(T44): Does your practice have policies and procedures for encrypting ePHI when deemed reasonable and appropriate?, (T45): When analyzing risk, does your practice consider the value of encryption for assuring the integrity of ePHI is not accessed or modified when it is stored or transmitted?","(T44): Does your practice have policies and procedures for encrypting ePHI when deemed reasonable and appropriate?
(T45): When analyzing risk, does your practice consider the value of encryption for assuring the integrity of ePHI is not accessed or modified when it is stored or transmitted?",Addressable,"SC-1,SC-13"
64,164.314,164.314 Organizational Requirements,164.314(a)(1),(a)(1) Standard: Business associate contracts or other arrangements. ,Standard,Q: Does your organization have business associate agreements or other contracts with other health care entities?,XXXXX,XXXXX,XXXXX,XXXXX,
65,164.314,164.314 Organizational Requirements,164.314(a)(1)(i),"(i) The contract or other arrangement between the covered entity and its business associate required by § 164.308(b) must meet the requirements of paragraph (a)(2)(i) or (a)(2)(ii) of this section, as applicable.",,Q: Does your organization's business associate agreements include mandated requirements? ,O1,(O1): Does your practice assure that its business associate agreements include satisfactory assurances for safeguarding ePHI?,(O1): Does your practice assure that its business associate agreements include satisfactory assurances for safeguarding ePHI?,Standard,
66,164.314,164.314 Organizational Requirements,164.314(a)(1)(ii),"(ii) A covered entity is not in compliance with the standards in § 164.502(e) and paragraph (a) of this section if the covered entity knew of a pattern of an activity or practice of the business associate that constituted a material breach or violation of the business associate's obligation under the contract or other arrangement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful—",,Q: Do your organization's business associate agreements includes specified paragraphs on disclosures of business associates?,XXXXX,XXXXX,XXXXX,XXXXX,
67,164.314,164.314 Organizational Requirements,164.314(a)(1)(ii)(A),"(A) Terminated the contract or arrangement, if feasible; or",,Q: Does your organization's business associate agreements includes specified paragraphs on termination of business associates?,XXXXX,XXXXX,XXXXX,XXXXX,
68,164.314,164.314 Organizational Requirements,164.314(a)(1)(ii)(B),"(B) If termination is not feasible, reported the problem to the Secretary.",,"Q: Does your organization's business associate agreements includes specified paragraphs if termination of business associates is not feasible, the issues is reported to the Office for Civil Rights?
Q: Does your organization include the following requirements and/or specifications, explicitly or by reference, in information acquisition contracts based on the assessment of risk and in accordance with applicable laws, regulations, and related guidance documents:1) security functional requirements/specifications?
Q: Does your organization include the following requirements and/or specifications, explicitly or by reference, in information acquisition contracts based on the assessment of risk and in accordance with applicable laws, regulations, and related guidance documents: 2) security- related documentation requirements?
Q: Does your organization include the following requirements and/or specifications, explicitly or by reference, in information acquisition contracts based on the assessment of risk and in accordance with applicable laws, regulations, and related guidance documents:3) developmental and evaluation-related assurance requirements?",XXXXX,XXXXX,XXXXX,XXXXX,
69,164.314,164.314 Organizational Requirements,164.314(a)(2)(i),(2) Implementation specifications (Required). (i) Business associate contracts. The contract between a covered entity and a business associate must provide that the business associate will—,Required,XXXXX,O2,"(O2): Do the terms and conditions of your practice’s business associate agreements state that the business associate will implement appropriate security safeguards to protect the privacy, confidentiality, integrity, and availability of ePHI that it collects, creates, maintains, or transmits on behalf of the practice and timely report security incidents to your practice?","(O2): Do the terms and conditions of your practice’s business associate agreements state that the business associate will implement appropriate security safeguards to protect the privacy, confidentiality, integrity
and availability of ePHI that it collects, creates, maintains, or transmits on behalf of the practice and timely report security incidents to your practice?",Required,
