Audit Type,Section,Key Activity,Established Performance Criteria,Audit Inquiry,Required / Addressable,Policy
,,,(ii) Documents the methods and results of the analysis that justify such determination; or,,,
,,,"(2)(i) The following identifiers of the individual or of relatives, employers, or household members of the individual, are removed:",Obtain and review policies and procedures to determine whether they comply with the established performance criterion.,,
,,,(A) Names;,Refer to the de-identification guidance for assistance in these determinations: http://www.hhs.gov/ ocr/privacy /hipaa/ understanding/ coveredentities/ De-identif ication/ guidance.html,,
,,,"(B) All geographic subdivisions smaller than a State, including street address, city, county, precinct, zip code, and their equivalent geocodes, except for the initial three digits of a zip code if, according to the current available data from the Bureau of the Census;",,,
,,,"(1) The geographic unit formed by combining all zip codes with the same three initial digits contains more than 20,000 people; and",,,
,,,"(2) The initial three digits of a zip code for all such geographic units containing 20,000 or fewer people is changed to 000.",,,
,,,"(C) All elements of dates (except year) for dates directly related to an individual, including birth date, admission date, discharge date, date of death; and all ages over 89 and all elements of dates (including year) indicative of such age, except that such ages and elements may be aggregated into single category of age 90 or older;",,,
,,,"(D) Telephone numbers; (E) Fax numbers; (F) Electronic mail addresses; (G) Social security numbers; (H) Medical record numbers; (I) Health plan beneficiary numbers; (J) Account numbers; (K) Certificate/license numbers; (L) Vehicle identifiers and serial numbers, including license plate numbers; (M) Device identifiers and serial numbers; (N) Web Universal Resource Locators (URLs); (O) Internet Protocol (IP) address numbers; (P) Biometric identifiers, including finger voice prints;",,,
,,,"(Q) Full face photographic images and any comparable images; and (R) Any other unique identifying number, characteristic, or code, except as permitted by paragraph (c) of this section; and",,,
,,,(ii) The covered entity does not have actual knowledge that the information could be used alone or in combination with other information to identify an individual who is a subject of the information.,,,
,,,,,,
,,,"§164.514(c) Implementation specifications: Re-identification. A covered entity may assign a code or other means of record identification to allow information de-identified under this section to be re-identified by the covered entity, provided that: (1) The code or other means of record identification is not derived from or related to information about the individual and is not otherwise capable of being translated so as to identify the individual; and (2) Security. The covered entity does not use or disclose the code or other means of record identification for any other purpose, and does not disclose the mechanism for re-identification.",,,
Privacy,§164.514(d)(1)-§164.514(d)(2),Standard: Minimum Necessary & Minimum Necessary Uses of PHI,(b) Standard: Minimum necessary,Has the covered entity implemented policies and procedures consistent with the requirements of the established performance criterion to identify need for and limit use of PHI?,,
,,,"(1) Minimum necessary applies. When using or disclosing protected health information or when requesting protected health information from another covered entity or business associate, a covered entity or business associate must make reasonable efforts to limit protected health information to the minimum necessary to accomplish the intended purpose of the use, disclosure, or request.",,,
,,,(2) Minimum necessary does not apply. This requirement does not apply to:,"Obtain and review policies and procedures for limiting access to PHI. Elements to consider include, but are not limited to:-",,
,,,(i) Disclosures to or requests by a health care provider for treatment;,-Criteria for determining what level of access a person or class of persons will need,,
,,,"(ii) Uses or disclosures made to the individual, as permitted under paragraph (a)(1)(i) of this section or as required by paragraph (a)(2)(i) of this section;","-Criteria for modifying, reviewing, or terminating an individual’s access",,
,,,(iii) Uses or disclosures made pursuant to an authorization under § 164.508;,--Efforts to limit access consistent with the needs and conditions described for each person or class of persons,,
,,,(iv) Disclosures made to the Secretary in accordance with subpart C of part 160 of this subchapter;,-Whether the policies and procedures take into account access to both PHI and ePHI.,,
,,,"(v) Uses or disclosures that are required by law, as described by § 164.512(a); and",,,
,,,(vi) Uses or disclosures that are required for compliance with applicable requirements of this subchapter.,Obtain and review the access of a sample of workforce members with access to PHI for their corresponding job title and description to determine whether the access is consistent with the policies and procedures.,,
,,,§164.514(d)(2) Implementation specifications: Minimum necessary uses of protected health information.,,,
,,,"(i) A covered entity must identify: (A) Those persons or classes of persons, as appropriate, in its workforce who need access to protected health information to carry out their duties; and (B) For each such person or class of persons, the category or categories of protected health information to which access is needed and any conditions appropriate to such access.",NOTE: The rule requires that the class/job functions that need to use or disclose PHI be determined and the information be limited to what is needed for that job classification.,,
,,,,,,
,,,(ii) A covered entity must make reasonable efforts to limit the access of such persons or classes identified in paragraph (d)(2)(i)(A) of this section to protected health information consistent with paragraph (d)(2)(i)(B) of this section.,,,
Privacy,§164.514(d)(3),Minimum Necessary - Disclosures of PHI,§164.514(d)(3) Implementation specification: Minimum necessary disclosures of protected health information.,Are policies and procedures in place to limit the PHI disclosed to the amount reasonably necessary to achieve the purpose of the disclosure?,,
,,,"(i) For any type of disclosure that it makes on a routine and recurring basis, a covered entity must implement policies and procedures (which may be standard protocols) that limit the protected health information disclosed to the amount reasonably necessary to achieve the purpose of the disclosure.",,,
,,,"(ii) For all other disclosures, a covered entity must: (A) Develop criteria designed to limit the protected health information disclosed to the information reasonably necessary to accomplish the purpose for which disclosure is sought; and (B) Review requests for disclosure on an individual basis in accordance with such criteria.",Obtain and review policies and procedures related to minimum necessary disclosures and evaluate the content relative to the established performance criterion.,,
,,,"(iii) A covered entity may rely, if such reliance is reasonable under the circumstances, on a requested disclosure as the minimum necessary for the stated purpose when: (A) Making disclosures to public officials that are permitted under § 164.512, if the public official represents that the information requested is the minimum necessary for the stated purpose(s); (B) The information is requested by another covered entity; (C) The information is requested by a professional who is a member of its workforce or is a business associate of the covered entity for the purpose of providing professional services to the covered entity, if the professional represents that the information requested is the minimum necessary for the stated purpose(s); or (D) Documentation or representations that comply with the applicable requirements of § 164.512(i) have been provided by a person requesting the information for research purposes.","Obtain and review a sample of protocols for disclosures made on a routine and recurring basis and determine if such protocols limit to the PHI to what is reasonably necessary to achieve the purpose of the disclosure, as required by 514(d)(3).",,
Privacy,§164.514(d)(4),Minimum Necessary requests for protected health information,"§164.514(d)(4) Implementation specifications: Minimum necessary requests for protected health information. (i) A covered entity must limit any request for protected health information to that which is reasonably necessary to accomplish the purpose for which the request is made, when requesting such information from other covered entities.",Are policies and procedures in place to limit the PHI requested by the entity being audited to the amount minimally necessary to achieve the purpose of the disclosure?,,
,,,"(ii) For a request that is made on a routine and recurring basis, a covered entity must implement policies and procedures (which may be standard protocols) that limit the protected health information requested to the amount reasonably necessary to accomplish the purpose for which the request is made.",,,
,,,"(iii) For all other requests, a covered entity must:",Obtain and review policies and procedures related to minimum necessary requests and evaluate the content relative to the specified criteria.,,
,,,(A) Develop criteria designed to limit the request for protected health information to the information reasonably necessary to accomplish the purpose for which the request is made; and,"Obtain and review a sample of requests made on a routine and recurring basis and determine if they are limited to the PHI reasonably necessary to achieve the purpose of the disclosure, as required by §164.514(d)(4).",,
,,,(B) Review requests for disclosure on an individual basis in accordance with such criteria.,,,
Privacy,§164.514(d)(5),Minimum Necessary - Other content requirement,"§164.514(d)(5) Implementation specification: Other content requirement. For all uses, disclosures, or requests to which the requirements in paragraph (d) of this section apply, a covered entity may not use, disclose or request an entire medical record, except when the entire medical record is specifically justified as the amount that is reasonably necessary to accomplish the purpose of the use, disclosure, or request.","Are policies and procedures in place to address uses, disclosures, or requests for an entire medical record?",,
,,,,,,
,,,,"Obtain and review policies and procedures related to minimum necessary uses, disclosures, or requests for an entire medical record for consistency with the established performance criterion.",,
,,,,"Obtain and review a sample of use, disclosure, or request for an entire medical record and determine if it is limited to the PHI reasonably necessary to achieve the purpose of the use, disclosure, or request as required by §164.514(d)(5).",,
Privacy,§164.514(e),Limited Data Sets and Data Use Agreements,"§164.514(e)(1) Standard: Limited data set. A covered entity may use or disclose a limited data set that meets the requirements of paragraphs (e)(2) and (e)(3) of this section, if the covered entity enters into a data use agreement with the limited data set recipient, in accordance with paragraph (e)(4) of this section.","Are data use agreements in place between the covered entity and its limited data set recipients, if any?",,
,,,,,,
,,,"§164.514(e)(2) Implementation specification: Limited data set: A limited data set is protected health information that excludes the following direct identifiers of the individual or of relatives, employers, or household members of the individual: (i) Names; (ii) Postal address information, other than town or city, State, and zip code; (iii) Telephone numbers; (iv) Fax numbers; (v) Electronic mail addresses; (vi) Social security numbers; (vii) Medical record numbers; (viii) Health plan beneficiary numbers; (ix) Account numbers; (x) Certificate/license numbers; (xi) Vehicle identifiers and serial numbers, including license plate numbers; (xii) Device identifiers and serial numbers; (xiii) Web Universal Resource Locators (URLs); (xiv) Internet Protocol (IP) address numbers; (xv) Biometric identifiers, including finger and voice prints; and (xvi) Full face photographic images and any comparable images.",Obtain and review policies and procedures and evaluate the content in relation to the established performance criterion to determine if data use agreements are in place between the covered entity and its limited data set recipients.,,
,,,,,,
,,,"§164.514(e)(3) Implementation specification: Permitted purposes for uses and disclosures. (i) A covered entity may use or disclose a limited data set under paragraph (e)(1) of this section only for the purposes of research, public health, or health care operations.",Obtain and review a sample data use agreement to determine if the agreements comply with the established performance criterion.,,
,,,"(ii) A covered entity may use protected health information to create a limited data set that meets the requirements of paragraph (e)(2) of this section, or disclose protected health information only to a business associate for such purpose, whether or not the limited data set is to be used by the covered entity.",,,
,,,,Obtain and review a sample limited data set to determine whether it complies with the established performance criterion.,,
,,,"§164.514(e)(4) Implementation specifications: Data use agreement (i) Agreement required. A covered entity may use or disclose a limited data set under paragraph (e)(1) of this section only if the covered entity obtains satisfactory assurance, in the form of a data use agreement that meets the requirements of this section, that the limited data set recipient will only use or disclose the protected health information for limited purposes.",,,
,,,"(ii) Contents. A data use agreement between the covered entity and the limited data set recipient must: (A) Establish the permitted uses and disclosures of such information by the limited data set recipient, consistent with paragraph (e)(3) of this section. The data use agreement may not authorize the limited data set recipient to use or further disclose the information in a manner that would violate the requirements of this subpart, if done by the covered entity; (B) Establish who is permitted to use or receive the limited data set; and (C) Provide that the limited data set recipient will: (1) Not use or further disclose the information other than as permitted by the data use agreement or as otherwise required by law; (2) Use appropriate safeguards to prevent use or disclosure of the information other than as provided for by the data use agreement; (3) Report to the covered entity any use or disclosure of the information not provided for by its data use agreement of which it becomes aware; (4) Ensure that any agents to whom it provides the limited data set agree to the same restrictions and conditions that apply to the limited data set recipient with respect to such information; and (5) Not identify the information or contact the individuals.",,,
,,,"(iii) Compliance. (A) A covered entity is not in compliance with the standards in paragraph (e) of this section if the covered entity knew of a pattern of activity or practice of the limited data set recipient that constituted a material breach or violation of the data use agreement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful: (1) Discontinued disclosure of protected health information to the recipient; and (2) Reported the problem to the Secretary. (B) A covered entity that is a limited data set recipient and violates a data use agreement will be in noncompliance with the standards, implementation specifications, and requirements of paragraph (e) of this section.",,,
Privacy,§164.514(f),Uses and Disclosures for Fundraising,§164.514(f) Fundraising communications.,Is the disclosure of PHI to a business associate or institutionally related foundation limited to the information set forth in the established performance criterion?,,
,,,"(1) Standard: Uses and disclosures for fundraising. Subject to the conditions of paragraph (f)(2) of this section, a covered entity may use, or disclose to a business associate or to an institutionally related foundation, the following protected health information for the purpose of raising funds for its own benefit, without an authorization meeting the requirements of § 164.508: (i) Demographic information relating to an individual, including name, address, other contact information, age, gender, and date of birth; (ii) Dates of health care provided to an individual; (iii) Department of service information; (iv) Treating physician; (v) Outcome information; and (vi) Health insurance status.",,,
,,,,Obtain and review policies and procedures and notice of privacy practices and evaluate the content relative to the established performance criterion.,,
,,,(2) Implementation specifications: Fundraising requirements.,,,
,,,"(i) A covered entity may not use or disclose protected health information for fundraising purposes as otherwise permitted by paragraph (f)(1) of this section unless a statement required by §164.520(b)(1)(iii)(A) is included in the covered entity’s notice of privacy practices. (ii) With each fundraising communication made to an individual under this paragraph, a covered entity must provide the individual with a clear and conspicuous opportunity to elect not to receive any further fundraising communications. The method for an individual to elect not to receive further fundraising communications may not cause the individual to incur an undue burden or more than a nominal cost. (iii) A covered entity may not condition treatment or payment on the individual’s choice with respect to the receipt of fundraising communications. (iv) A covered entity may not make fundraising communications to an individual under this paragraph where the individual has elected not to receive such communications under paragraph (f)(2)(ii) of this section. (v) A covered entity may provide an individual who has elected not to receive further fundraising communications with a method to opt back in to receive such communications.",Obtain and review a sample of communications for fundraising purposes to determine if it contains a clear and conspicuous opportunity to opt-out of further fundraising communications or reference to a mechanism for opting out.,,
,,,,,,
,,,,Obtain and review documentation that the policies and procedures are conveyed to the workforce.,,
Privacy,§164.514(g),Uses and Disclosures for Underwriting and Related Purposes,"§164.514(g) Standard: Uses and disclosures for underwriting and related purposes. If a health plan receives protected health information for the purpose of underwriting, premium rating, or other activities relating to the creation, renewal, or replacement of a contract of health insurance or health benefits, and if such health insurance or health benefits are not placed with the health plan, such health plan may only use or disclose such protected health information for such purpose or as may be required by law, subject to the prohibition at § 164.502(a)(5)(i) with respect to genetic information included in the protected health information.",Does the health plan have policies and procedures consistent with the established performance criterion addressing limitations on the use and disclosure of PHI received for underwriting and other purposes?,,
,,,"§ 164.502(a)(5)(i) Use and disclosure of genetic information for underwriting purposes: Notwithstanding any other provision of this subpart, a health plan, excluding an issuer of a long-term care policy falling within paragraph (1)(viii) of the definition of health plan, shall not use or disclose protected health information that is genetic information for underwriting purposes. For purposes of paragraph (a)(5)(i) of this section, underwriting purposes means, with respect to a health plan:","Obtain and review policies and procedures and evaluate the content relative to the established performance criterion. If health insurance or health benefits are not placed with the health plan, do the policies and procedures limit further use or disclosure for such purpose or as may be required by law?",,
,,,"(A) Except as provided in paragraph (a)(5)(i)(B) of this section: (1) Rules for, or determination of, eligibility (including enrollment and continued eligibility) for, or determination of, benefits under the plan, coverage, or policy (including changes in deductibles or other cost-sharing mechanisms in return for activities such as completing a health risk assessment or participating in a wellness program); (2) The computation of premium or contribution amounts under the plan, coverage, or policy (including discounts, rebates, payments in kind, or other premium differential mechanisms in return for activities such as completing a health risk assessment or participating in a wellness program); (3) The application of any pre-existing condition exclusion under the plan, coverage, or policy; and (4) Other activities related to the creation, renewal, or replacement of a contract of health insurance or health benefits.","See also § 164.502(a)(5)(i) of this document. Are policies and procedures in in place restricting the health plan's uses and/or disclosures of PHI for underwriting purposes, subject to the prohibition with respect to genetic information in the PHI?",,
,,,"(B) Underwriting purposes does not include determinations of medical appropriateness where an individual seeks a benefit under the plan, coverage, or policy.",,,
,,,From § 160.103 Definitions.,,,
,,,"Genetic information means: (1) Subject to paragraphs (2) and (3) of this definition, with respect to an individual, information about: (i) The individual's genetic tests; (ii) The genetic tests of family members of the individual; (iii) The manifestation of a disease or disorder in family members of such individual; or (iv) Any request for, or receipt of, genetic services, or participation in clinical research which includes genetic services, by the individual or any family member of the individual. (2) Any reference in this subchapter to genetic information concerning an individual or family member of an individual shall include the genetic information of:",,,
,,,(i) A fetus carried by the individual or family member who is a pregnant woman; and (ii) Any embryo legally held by an individual or family member utilizing an assisted reproductive technology. (3) Genetic information excludes information about the sex or age of any individual.,,,
,,,"(ii) Genetic services means: (1) A genetic test; (2) Genetic counseling (including obtaining, interpreting, or assessing genetic information); or (3) Genetic education. Genetic test means an analysis of human DNA, RNA, chromosomes, proteins, or metabolites, if the analysis detects genotypes, mutations, or chromosomal changes. Genetic test does not include an analysis of proteins or metabolites that is directly related to a manifested disease, disorder, or pathological condition.",,,
Privacy,§164.514(h),Verification Requirements,"§164.514(h)(1) Standard: Verification requirements. Prior to any disclosure permitted by this subpart, a covered entity must: (i) Except with respect to disclosures under §164.510, verify the identity of a person requesting protected health information and the authority of any such person to have access to protected health information under this subpart, if the identity or any such authority of such person is not known to the covered entity; and (ii) Obtain any documentation, statements, or representations, whether oral or written, from the person requesting the protected health information when such documentation, statement, or representation is a condition of the disclosure under this subpart.",Are policies and procedures consistent with the established performance criterion in place to verify the identity of persons who request PHI?,,
,,,(2) Implementation specifications: Verification.,,,
,,,"(i) Conditions on disclosures. If a disclosure is conditioned by this subpart on particular documentation, statements, or representations from the person requesting the protected health information, a covered entity may rely, if such reliance is reasonable under the circumstances, on documentation, statements, or representations that, on their face, meet the applicable requirements. (A) The conditions in §164.512(f)(1)(ii)(C) may be satisfied by the administrative subpoena or similar process or by a separate written statement that, on its face, demonstrates that the applicable requirements have been met. (B) The documentation required by §164.512(i)(2) may be satisfied by one or more written statements, provided that each is appropriately dated and signed in accordance with §164.512(i)(2)(i) and (v).",Obtain and review policies and procedures regarding verification of the identity of individuals who request PHI.,,
,,,"(ii) Identity of public officials. A covered entity may rely, if such reliance is reasonable under the circumstances, on any of the following to verify identity when the disclosure of protected health information is to a public official or a person acting on behalf of the public official: (A) If the request is made in person, presentation of an agency identification badge, other official credentials, or other proof of government status; (B) If the request is in writing, the request is on the appropriate government letterhead; or (C) If the disclosure is to a person acting on behalf of a public official, a written statement on appropriate government letterhead that the person is acting under the government's authority or other evidence or documentation of agency, such as a contract for services, memorandum of understanding, or purchase order, that establishes that the person is acting on behalf of the public official.",,,
,,,"(iii) Authority of public officials. A covered entity may rely, if such reliance is reasonable under the circumstances, on any of the following to verify authority when the disclosure of protected health information is to a public official or a person acting on behalf of the public official: (A) A written statement of the legal authority under which the information is requested, or, if a written statement would be impracticable, an oral statement of such legal authority; (B) If a request is made pursuant to legal process, warrant, subpoena, order, or other legal process issued by a grand jury or a judicial or administrative tribunal is presumed to constitute legal authority.","Obtain and review sample documentation, consistent with the established performance criterion, of how the covered entity has verified the identity of several recent requestors of PHI. Such documentation could include a copy of or notation of the official credentials, a completed verification checklist, a copy of the request on official letterhead, etc.",,
,,,(iv) Exercise of professional judgment. The verification requirements of this paragraph are met if the covered entity relies on the exercise of professional judgment in making a use or disclosure in accordance with §164.510 or acts on a good faith belief in making a disclosure in accordance with §164.512(j).,,,
Privacy,§164.520(a)(1) & (b)(1),Notice of Privacy Practices,"§164.520(a)(1) Right to notice. Except as provided by paragraph (a)(2) or (3) of this section, an individual has a right to adequate notice of the uses and disclosures of protected health information that may be made by the covered entity, and of the individual's rights and the covered entity's legal duties with respect to protected health information.",Does the covered entity have a notice of privacy practices?,,
,,Content requirements,,"If yes, verify the current notice contains all the required elements.",,
,,,§164.520(b)(1) Required elements. The covered entity must provide a notice that is written in plain language and that contains the elements required by this paragraph.,,,
,,,"(i) Header. The notice must contain the following statement as a header or otherwise prominently displayed: ""THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY.""",• Header,,
,,,"(ii) Uses and disclosures. The notice must contain: (A) A description, including at least one example, of the types of uses and disclosures that the covered entity is permitted by this subpart to make for each of the following purposes: treatment, payment, and health care operations. (B) A description of each of the other purposes for which the covered entity is permitted or required by this subpart to use or disclose protected health information without the individual's written authorization. (C) If a use or disclosure for any purpose described in paragraphs (b)(1)(ii)(A) or (B) of this section is prohibited or materially limited by other applicable law, the description of such use or disclosure must reflect the more stringent law as defined in §160.202 of this subchapter. (D) For each purpose described in paragraph (b)(1)(ii)(A) or (B) of this section, the description must include sufficient detail to place the individual on notice of the uses and disclosures that are permitted or required by this subpart and other applicable law. (E) A description of the types of uses and disclosures that require an authorization under §164.508(a)(2)– (a)(4), a statement that other uses and disclosures not described in the notice will be made only with the individual’s written authorization, and a statement that the individual may revoke an authorization as provided by §164.508(b)(5).",,,
,,,"(iii) Separate statements for certain uses or disclosures. If the covered entity intends to engage in any of the following activities, the description required by paragraph (b)(1)(ii)(A) of this section must include a separate statement informing the individual of such activities, as applicable: (A) In accordance with §164.514(f)(1), the covered entity may contact the individual to raise funds for the covered entity and the individual has a right to opt out of receiving such communications; (B) In accordance with § 164.504(f), the group health plan, or a health insurance issuer or HMO with respect to a group health plan, may disclose protected health information to the sponsor of the plan; or (C) If a covered entity that is a health plan, excluding an issuer of a long-term care policy falling within paragraph (1)(viii) of the definition of health plan, intends to use or disclose protected health information for underwriting purposes, a statement that the covered entity is prohibited from using or disclosing protected health information that is genetic information of an individual for such purposes.",164.502(a)(1) – Permitted uses and disclosures,,
,,,"(iv) Individual rights. The notice must contain a statement of the individual's rights with respect to protected health information and a brief description of how the individual may exercise these rights, as follows: (A) The right to request restrictions on certain uses and disclosures of protected health information as provided by § 164.522(a), including a statement that the covered entity is not required to agree to a requested restriction, except in case of a disclosure restricted under § 164.522(a)(1)(vi); (B) The right to receive confidential communications of protected health information as provided by § 164.522(b), as applicable; (C) The right to inspect and copy protected health information as provided by § 164.524; (D) The right to amend protected health information as provided by § 164.526; (E) The right to receive an accounting of disclosures of protected health information as provided by § 164.528; and (F) The right of an individual, including an individual who has agreed to receive the notice electronically in accordance with paragraph (c)(3) of this section, to obtain a paper copy of the notice from the covered entity upon request.",Does the covered entity include in its notice a description of the following permitted uses and disclosures?,,
,,,"(v) Covered entity's duties. The notice must contain: (A) A statement that the covered entity is required by law to maintain the privacy of protected health information, to provide individuals with notice of its legal duties and privacy practices with respect to protected health information, and to notify affected individuals following a breach of unsecured protected health information; (B) A statement that the covered entity is required to abide by the terms of the notice currently in effect; and (C) For the covered entity to apply a change in a privacy practice that is described in the notice to protected health information that the covered entity created or received prior to issuing a revised notice, in accordance with § 164.530(i)(2)(ii), a statement that it reserves the right to change the terms of its notice and to make the new notice provisions effective for all protected health information that it maintains. The statement must also describe how it will provide individuals with a revised notice.",,,
,,,"(vi) Complaints. The notice must contain a statement that individuals may complain to the covered entity and to the Secretary if they believe their privacy rights have been violated, a brief description of how the individual may file a complaint with the covered entity, and a statement that the individual will not be retaliated against for filing a complaint.",• To the individual,,
,,,"(vii) Contact. The notice must contain the name, or title, and telephone number of a person or office to contact for further information as required by § 164.530(a)(1)(ii).","• For treatment, payment, or health care operations (with at least one example of a use and disclosure for each purpose)",,
,,,"(viii) Effective date. The notice must contain the date on which the notice is first in effect, which may not be earlier than the date on which the notice is printed or otherwise published.",• For public health and safety issues,,
,,,,• For research purposes,,
,,,,• To comply with the law,,
,,,,• To respond to organ and tissue donation requests,,
,,,,• To work with a medical examiner or funeral director,,
,,,,"• To address workers’ compensation, law enforcement and other government requests",,
,,,,• To respond to lawsuits and legal actions.,,
,,,,,,
,,,,"Pursuant to an agreement under, or as otherwise permitted by § 164.510 – Uses and disclosures requiring an opportunity to agree or object:",,
,,,,(i) For facility direct,,
,,,,(ii) For involvement in the individual’s care and notification purposes.,,
,,,,64.512 – Uses and disclosures for which an authorization or opportunity to agree or object is not required,,
,,,,Does the covered entity include in its notice the following uses and disclosures for which an authorization or opportunity to agree or object is not required:,,
,,,,• As required by law,,
,,,,• For public health activities,,
,,,,"• Disclosures about victims of abuse, neglect or domestic violence",,
,,,,• For health oversight activities,,
,,,,• Disclosures for judicial and administrative proceeding,,
,,,,• Disclosures for law enforcement purposes,,
,,,,• About decedents,,
,,,,"• For cadaveric organ, eye or tissue donation purposes",,
,,,,• For research purposes,,
,,,,• To avert a serious threat to health or safety,,
,,,,• For specialized government functions.,,
,,,,164.514 (f)(1) – Standard: Uses and disclosures for fundraising.,,
,,,,Required Statements:,,
,,,,• A statement that other uses and disclosures not described in the notice will be made only with the individual’s written authorization,,
,,,,"• A statement that the individual may revoke an authorization If the covered entity intends to engage in any of the following activities, separate statements for certain uses or disclosures involving fundraising",,
,,,,o A statement that genetic information cannot be used to decide whether coverage can be given or at what price o A statement that information can be disclosed to a plan sponsor for plan administration.,,
,,,,Individual rights: Does the notice of privacy practices contain a statement of the individual’s rights and a description of how the individual may exercise the following rights:,,
,,,,,,
,,,,• Obtain a copy of the individual’s health and claims records,,
,,,,• Request that the covered entity correct health and claims records,,
,,,,• Request confidential communications,,
,,,,• Ask the covered entity to limit what it uses or shares,,
,,,,• Obtain a list of those with whom the covered entity has shared information,,
,,,,• Obtain a copy of the privacy notice,,
,,,,• File a complaint with the entity and the Secretary of HHS,,
,,,,,,
,,,,"CE Duties: Does the covered entity notify individuals of its legal duties with respect to their PHI, which are:",,
,,,,,,
,,,,• To maintain the privacy and security of their PHI,,
,,,,• To notify affected individual(s) if a breach occurs that compromised the privacy or security of their information,,
,,,,• To follow the duties and privacy practices described in the notice,,
,,,,"• The covered entity will not use or share information other than as described here unless authorized in writing. Authorization may be revoked at any time, in writing.",,
,,,,Does the notice state that disclosures will be made:,,
,,,,• to the Secretary of HHS for HIPAA rules compliance and enforcement purposes,,
,,,,Complaints: The notice must contain a statement that the individual has a right to complain to the CE and to the Secretary if they believe their privacy rights have been violated with a brief description of how to file a complaint with the covered entity and a statement of no retaliation for filing a complaint.,,
,,,,,,
,,,,Contact: The notice must contain the name or title and telephone number of a person or office to contact for further information.,,
,,,,,,
,,,,Effective date: The notice must contain an effective date.,,
Privacy,§164.520(c)(1),Provisions of Notice - Health Plans,"§164.520(c) Implementation specifications: Provision of notice. A covered entity must make the notice required by this section available on request to any person and to individuals as specified in paragraphs (c)(1) through (c)(3) of this section, as applicable.",Does the health plan provide its notice of privacy practices consistent with the established performance criterion?,,
,,,"(1) Specific requirements for health plans. (i) A health plan must provide the notice: (A) no later than the compliance date for the health plan, to individuals then covered by the plan; (B) thereafter, at the time of enrollment, to individuals who are new enrollees.",Obtain and review the policies and procedures in place regarding the provision and posting of the notice of privacy practices.,,
,,,"(ii) No less frequently than once every three years, the health plan must notify individuals then covered by the plan of the availability of the notice and how to obtain the notice.","Has the health plan provided the notice of privacy practices to individuals as required? For a sample of individuals, obtain and review documentation of when and how notices were provided.",,
,,,(iii) The health plan satisfies the requirements of paragraph (c)(1) of this section if notice is provided to the named insured of a policy under which coverage is provided to the named insured and one or more dependents.,"As available, for example, as part of a standard mailing sent to new health plan members, review the notice of privacy practices provided to the selected individuals. Was the notice of privacy practices that was provided to the selected individuals the current notice of privacy practices for the time period in which the notice was provided?",,
,,,"(iv) If a health plan has more than one notice, it satisfies the requirements of paragraph (c)(1) of this section by providing the notice that is relevant to the individual or other person requesting the notice.",,,
,,,(v) If there is a material change to the notice:,,,
,,,"(A) A health plan that posts its notice on its web site in accordance with paragraph (c)(3)(i) of this section must prominently post the change or its revised notice on its web site by the effective date of the material change to the notice, and provide the revised notice, or information about the material change and how to obtain the revised notice, in its next annual mailing to individuals then covered by the plan.",,,
,,,"(B) A health plan that does not post its notice on a web site pursuant to paragraph (c)(3)(i) of this section must provide the revised notice, or information about the material change and how to obtain the revised notice, to individuals then covered by the plan within 60 days of the material revision to the notice.",,,
Privacy,§164.520(c)(2),Provisions of Notice - Certain Covered Health Care Providers,§164.520(c)(2) Specific requirements for certain covered health care providers. A covered health care provider that has a direct treatment relationship with an individual must:,Does a covered health care provider with direct treatment relationships with individuals provide its notice of privacy practices consistent with the established performance criterion?,,
,,,(i) Provide the notice:,,,
,,,"(A) No later than the date of the first service delivery, including service delivered electronically, to such individual after the compliance date for the covered health care provider; or",Obtain and review the policies and procedures in place regarding the provision of the notice of privacy practices.,,
,,,"(B) In an emergency treatment situation, as soon as reasonably practicable after the emergency treatment situation.",,,
,,,"(ii) Except in an emergency treatment situation, make a good faith effort to obtain a written acknowledgment of receipt of the notice provided in accordance with paragraph (c)(2)(i) of this section, and if not obtained, document its good faith efforts to obtain such acknowledgment and the reason why the acknowledgment was not obtained;",Obtain and review a sample of acknowledgement of receipt of the notice and of documentation showing a good faith effort was made when an acknowledgment could not be obtained.,,
,,,(iii) If the covered health care provider maintains a physical service delivery site:,,,
,,,(A) Have the notice available at the service delivery site for individuals to request to take with them; and,"Has the covered health care provider provided the notice of privacy practices to individuals as required? From sample of a population of individuals who were new patients/new individuals, obtain and review documentation to determine if the initial date of service corresponded with the date of the notice of privacy practices was received. If the dates do not correspond, determine if the initial service was an emergency situation or if there was another means or explanation.",,
,,,(B) Post the notice in a clear and prominent location where it is reasonable to expect individuals seeking service from the covered health care provider to be able to read the notice.,Review documentation related to provision of notice to individuals who presented for emergency treatment.,,
,,,"(iv) Whenever the notice is revised, make the notice available upon request on or after the effective date of the revision and promptly comply with the requirements of paragraph (c)(2)(iii) of this section, if applicable.",,,
Privacy,§164.520(c)(3),Provision of Notice - Electronic Notice,§164.520(c)(3) Specific requirements for electronic notice.  (i) A covered entity that maintains a web site that provides information about the covered entity's customer services or benefits must prominently post its notice on the web site and make the notice available electronically through the web site.,Does a covered entity that maintains a web site prominently post its notice?,,
